area,deal_date,district,housing_estate,total_price,unit_price
81.35,2020.10.12,奉贤,绿地南桥新苑,251,30855
98.82,2020.10.11,奉贤,新南家园,327,33091
72.36,2020.10.11,奉贤,贝港南区（三区）,156,21559
438.25,2020.10.11,奉贤,招商海廷,722,16475
127.65,2020.10.12,静安,新梅共和城,1049,82178
55.09,2020.10.12,静安,保德公寓,233,42295
97.17,2020.10.11,静安,仁和恬园,707,72760
101.87,2020.10.11,静安,永和一村,525,51537
44.09,2020.10.11,静安,中海万锦城(四期),304,68950
31.42,2020.10.11,黄浦,恒升大厦,225,71611
60.29,2020.10.11,黄浦,中福浦江汇,610,101178
54.9,2020.10.10,黄浦,北蒙三小区,433,78871
52.87,2020.10.10,黄浦,南昌路260号,515,97409
70.34,2020.10.10,黄浦,瞿溪新村,565,80325
78.17,2020.10.11,青浦,仁恒运杰河滨花园,253,32340
69.71,2020.10.11,青浦,界泾港新村,204,29265
49.03,2020.10.11,青浦,民乐佳苑一区,157,31940
180.23,2020.10.10,青浦,金地天御,910,50492
45.31,2020.10.09,青浦,崧泽华城秀景苑,149,32885
159.59,2020.10.11,奉贤,绿地观邸,400,25065
107.46,2020.10.11,奉贤,新南家园,253,23544
79.31,2020.10.11,奉贤,贝港北区（二区）,160,20175
82,2020.10.11,奉贤,金碧汇虹苑,141,17135
79.8,2020.10.11,奉贤,鸿宝二村,166,20752
57.68,2020.10.11,奉贤,贝港南区（八区）,134,23232
70.31,2020.10.11,静安,粤秀苑,462,65710
42.27,2020.10.10,黄浦,瞿溪路937弄,300,70973
28.93,2020.10.09,黄浦,斜土路262弄,313,108193
27.95,2020.10.09,黄浦,蒙自路345弄,309,110555
60.91,2020.10.14,虹口,密三小区,382,62716
45.17,2020.10.14,虹口,何家宅小区,227,50255
72.6,2020.10.09,青浦,西虹桥壹号,292,40221
89.9,2020.10.09,青浦,仁恒运杰河滨花园,298,33148
118,2020.10.09,青浦,帕缇欧香苑,365,30933
90.09,2020.10.09,青浦,旭辉玫瑰湾,297,32912
60.46,2020.10.08,青浦,宜达新居,220,36388
89.22,2020.10.11,奉贤,江海二村(奉贤),147,16421
137.47,2020.10.10,奉贤,汤臣臻园,515,37463
49.4,2020.10.10,奉贤,解放新村,102,20648
136.36,2020.10.10,奉贤,贝港花苑,310,22734
40.95,2020.10.09,奉贤,鸿宝二村,111,27107
61.72,2020.10.14,虹口,悦华小区,415,67240
41.31,2020.10.14,虹口,水电小区,240,58098
37.87,2020.10.14,虹口,玉田新村,180,47532
111.93,2020.10.13,虹口,海伦都市佳苑,890,79514
37.14,2020.10.13,虹口,双东小区,354,95208
35.99,2020.10.12,虹口,曲阳林云小区,238,66130
72.44,2020.10.08,青浦,春江三月公寓二期,203,27955
69.3,2020.10.09,奉贤,鸿宝一村(北区),148,21256
88.82,2020.10.09,奉贤,鸿宝一村(南区),190,21392
65.16,2020.10.08,奉贤,绿地南桥新苑,312,47806
90.84,2020.10.08,奉贤,育秀九区,160,17614
73,2020.10.08,奉贤,绿地南桥新苑,295,40411
111.62,2020.10.12,虹口,金轩大邸,880,78839
33.96,2020.10.12,虹口,何家宅小区,190,55949
89.09,2020.10.12,虹口,欧阳花苑,590,66226
47.92,2020.10.12,虹口,广粤支路57弄,208,43406
49.63,2020.10.11,虹口,车站北路491弄,227,45739
32.8,2020.10.11,虹口,灵新小区,162,49391
84.51,2020.10.08,奉贤,江海新村,130,15324
81.3,2020.10.13,金山,东泉新村,156,19189
51.16,2020.10.11,金山,东礁一村,90,17592
60,2020.10.11,金山,海棠新村,65,10834
87.51,2020.10.11,虹口,东五小区(虹口),565,64565
40.24,2020.10.11,虹口,纪念小区,222,55020
68.16,2020.10.11,虹口,文宇公寓,452,66315
41.11,2020.10.11,虹口,华二小区(虹口),185,44880
88.43,2020.10.11,虹口,意和家园,530,59935
68,2020.10.10,虹口,上农新村,510,75000
106.08,2020.10.11,金山,飞虹北村,104,9804
53.04,2020.10.11,金山,临潮二村,89,16780
87.31,2020.10.11,金山,绿地金卫新家园（西区）,135,15405
88.6,2020.10.09,金山,飞虹北村,95,10723
36.88,2020.10.10,虹口,天宝西路252弄,153,41486
163.82,2020.10.10,虹口,金轩大邸,980,59822
91.77,2020.10.09,虹口,三湘花苑,551,60042
86,2020.10.09,虹口,广中三村,500,58140
32.81,2020.10.09,虹口,赤峰小区,200,60958
56.22,2020.10.07,金山,东礁一村,96,17076
109.41,2020.10.07,金山,金海岸花园,205,18737
139.07,2020.10.06,金山,绿地金卫新家园（西区）,240,17258
63.89,2020.10.06,金山,绿地金卫新家园（东区）,92,14322
111,2020.10.05,金山,正荣御首府,257,23154
67.75,2020.10.08,虹口,宏伦大厦,444,65462
63.57,2020.10.08,虹口,曲阳大楼,435,68429
35.73,2020.10.08,虹口,赤一小区,205,57375
48.89,2020.10.08,虹口,密三小区,335,68522
55.4,2020.10.08,虹口,吴家湾路101弄,295,53250
101.62,2020.10.04,金山,辰凯花苑,177,17418
90.98,2020.10.03,金山,绿地金山名邸,165,18136
61.4,2020.10.03,金山,御景龙庭,117,19056
89.4,2020.10.03,金山,绿地金山名邸,143,15996
81.04,2020.10.03,金山,山龙新村,170,20978
112,2020.10.01,金山,飞虹南村,98,8750
